_id,uid,type,timestamp,x,y,z,test
6827bc354b2ae70172a64edc,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:46.283Z,4.1706996,-8.159439,-3.679888,true
6827bc354b2ae70172a64edd,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:46.443Z,4.2066126,-8.212111,-3.596091,true
6827bc354b2ae70172a64ede,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:46.603Z,4.2760444,-8.152257,-3.5649664,true
6827bc354b2ae70172a64edf,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:46.763Z,4.309563,-8.008605,-3.7780502,true
6827bc354b2ae70172a64ee0,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:46.924Z,3.3806129,-5.90889,-6.7923503,true
6827bc354b2ae70172a64ee1,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:47.083Z,2.4756045,-0.7757214,-9.28232,true
6827bc354b2ae70172a64ee2,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:47.883Z,4.5418005,-4.697424,6.277597,true
6827bc354b2ae70172a64ee3,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:47.243Z,1.6160861,1.1587936,-10.522516,true
6827bc354b2ae70172a64ee4,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:48.045Z,5.861006,-1.7956513,6.9862804,true
6827bc354b2ae70172a64ee5,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:49.642Z,4.7165775,-1.7405846,-3.1316159,true
6827bc354b2ae70172a64ee6,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:47.403Z,1.1563994,1.8698715,-10.424355,true
6827bc354b2ae70172a64ee7,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:48.207Z,7.797915,1.5586253,3.620033,true
6827bc354b2ae70172a64ee8,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:49.802Z,7.4028716,2.1619642,0.107739076,true
6827bc354b2ae70172a64ee9,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:47.562Z,1.1372458,-2.5474305,-9.785102,true
6827bc354b2ae70172a64eea,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:48.364Z,8.822633,-1.5035586,-0.90261406,true
6827bc354b2ae70172a64eeb,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:49.962Z,1.2689269,-5.9519854,0.17717093,true
